C Series,,,,,,J Series,,,,
Irradiation Level,Spectrum #,Pk Centroid,FWHM,% FWHM,,Irradiation Level,Spectrum #,Pk Centroid,FWHM,% FWHM
Mean,374.8,36.47,9.74%,Mean,458.4,32.96,7.19%,,,
Std Dev,9.3,0.92,0.36%,Std Dev,7.6,0.84,0.11%,,,
Max,386.75,38.37,10.45%,Max,473.76,34.76,7.34%,,,
Min,362.32,35.49,9.39%,Min,451.64,32.16,6.97%,,,
Mean,368.6,36.57,9.93%,Mean,459.6,34.05,7.41%,,,
Std Dev,9.4,1.13,0.40%,Std Dev,4.4,1.44,0.36%,,,
Max,383.7,38.54,10.54%,Max,464.45,36.57,8.01%,,,
Min,358.88,35,9.52%,Min,452.91,32.47,7.07%,,,
Mean,372.2,37.17,9.99%,Mean,452.2,34.72,7.68%,,,
Std Dev,6.4,0.90,0.27%,Std Dev,6.4,1.36,0.39%,,,
Max,381.05,38.45,10.42%,Max,461.33,36.56,8.15%,,,
Min,365.47,36.4,9.61%,Min,445.28,33.35,7.32%,,,
Mean,360.9,37.78,10.49%,Mean,450.8,33.47,7.43%,,,
Std Dev,16.1,0.99,0.63%,Std Dev,7.3,0.90,0.16%,,,
Max,380.56,38.93,11.50%,Max,463.76,34.85,7.62%,,,
Min,338.47,36.48,9.92%,Min,443.36,32.53,7.23%,,,
Mean,361.4,36.48,10.10%,Mean,443.3,33.89,7.65%,,,
Std Dev,8.1,1.06,0.37%,Std Dev,11.0,0.54,0.29%,,,
Max,370.77,37.87,10.53%,Max,451.84,34.5,8.16%,,,
Min,353.55,35.11,9.47%,Min,422.25,33.04,7.36%,,,
Mean,352.4,36.85,10.46%,Mean,435.4,32.88,7.55%,,,
Std Dev,8.3,0.80,0.43%,Std Dev,6.6,1.12,0.27%,,,
Max,361.8,37.91,11.01%,Max,445.72,34.45,8.00%,,,
Min,338.75,35.95,9.99%,Min,429.05,30.96,7.22%,,,
Mean,354.5,37.22,10.50%,Mean,429.6,34.36,8.00%,,,
Std Dev,7.4,1.64,0.53%,Std Dev,8.5,0.90,0.16%,,,
Max,361.99,40.06,11.18%,Max,441.77,35.14,8.26%,,,
Min,340.55,35.68,9.98%,Min,418.97,33.05,7.77%,,,
Mean,317.6,41.05,13.37%,Mean,388.2,34.7,9.24%,,,
Std Dev,4.1,0.89,1.15%,Std Dev,35.2,1.7,0.07%,,,
Max,321.25,42.4,15.58%,Max,363.51,33.71,9.28%,,,
Min,313.08,40.09,12.48%,Min,360.58,33.28,8.53%,,,
Mean,243.5,45.48,18.70%,Mean,325.4,39.20,12.43%,,,
Std Dev,7.1,1.41,0.94%,Std Dev,42.1,4.22,3.62%,,,
Max,256.44,47.47,19.80%,Max,347.26,47.43,19.79%,,,
Min,236,43.73,17.50%,Min,239.63,35.69,10.42%,,,
